Trend_Name,Links,Explanation
NOTE:,,Those marked with an asterisk are the ones that have been shared by the official@creatorsaccount.
Time for the Holidays Trend |Example:,https://vm.tiktok.com/ZGdLRLc89/,Posting a fun video about starting to decorate for the holidays because it’s now November.
“What do you have to offer my daughter? Nothing. Only  This” Trend |Example:,https://www.instagram.com/reel/DAtncxxSTRt/,Posting a funny video lip syncing tothis soundshowcasing a silly quirk or talent that’s ‘the only thing you can offer’ people.
“Wait. They Don’t Love You Like I Do” Trend |Example:,https://www.instagram.com/reel/DBTsIbHRwGx/?igsh=M2x2eWg4MHh5Nzhi,"Posting a video tothis song, doing the dance from the example, often with a funny text overlay describing a situation where you would say “wait. they don’t love you like I do!”"
“I Lied. Put Your Clothes Back On” Trend |Example:,https://www.instagram.com/reel/DBgpqCHxiTH/?igsh=OWdudWJyNjRxMWY3,"Posting a video tothis songwith a funny text overlay describing a situation where you would lure someone to your place under false pretenses so you can tell them about a topic you’re hyperfixated on, or show them a weirdly specific hobby."
“Humans Saw This And Invented…” Trend |Example:,https://www.instagram.com/reel/C_L-fVaSx4j/?igsh=MXVoZTd6eGc3ZGppNA==,"Posting a video of an epic view/showcase of nature, with a text overlay saying “humans saw this and invented [insert very corporate/techy thing e.g. Microsoft Teams or Excel”"
Olympic Medals Trend |,,Example:Posting a video with this audio about what fictional Olympic sport you would win medals in if it were a real thing.
Match My Freak |Example:,https://www.instagram.com/reels/audio/496570739364385?igsh=MXZjNmkybmtpdXMz,"Posting a video withthis audio,with a text overlay asking if “somebody is gonna match my freak” then sharing in brackets a weird habit/interest you have – the more specific the better."
Blue Monday Fight |Example:,https://www.instagram.com/reel/C5LRVhVuqTj/?igsh=NTFzY3diMWtnZTA,"Posting a video dance fighting tothis audio, with text overlays showing a funny situation or argument."
2024 Ins/Outs |Example:,https://www.instagram.com/reel/C1hsUxrO_g2/?igsh=Z3JiODY4YTlwc2E4,Posting a video to an uplifting audio where the text reveals your 2024 ins and outs (ins being things you will be doing in 2024 and outs being things you won’t be doing).
“Things I Suffer From” Trend* |Example:,https://www.instagram.com/reel/C0J99IJOCBa/?igsh=dXRvaXpscjd2cTYz,"Posting a video tothis soundwhere you make a comical video referring to a made-up condition that you have, poking fun of a habit or something you do."
Coquette Trend* |Example:,https://www.instagram.com/reel/C0owP0Ku5-g/?igsh=dTJva2lpc3FodGcy,Posting a video referring to the coquette aesthetic (usually involving pink bows).
Bump Trend* |Example:,https://www.instagram.com/reel/C0LNJD0LvpV/?igsh=MXF0MmxyMG5kMTlpdw==,Posting a video tothis soundwhere you pretend to bump into someone as a meet cute.
